Class,Count,Accuracy,Precision,Recall,F1 Score,AUC
gas_pump,10,0.8922292993630573,0.4883720930232558,0.20047732696897375,0.28426395939086296,0.7706032753942441
golf_ball,10,0.9128662420382165,0.6233766233766234,0.3609022556390977,0.45714285714285713,0.8328855320376949
parachute,10,0.9370700636942675,0.7871485943775101,0.5025641025641026,0.6134585289514867,0.8921053204221522
tench,11,0.9439490445859873,0.7830508474576271,0.5968992248062015,0.6774193548387096,0.913434501455588
english_springer,11,0.9177070063694267,0.625,0.45569620253164556,0.527086383601757,0.8807752716319432
cassette_player,11,0.926624203821656,0.6468085106382979,0.4257703081232493,0.5135135135135135,0.8863724862142166
chain_saw,11,0.9003821656050955,0.4774774774774775,0.13730569948186527,0.21327967806841047,0.7361502546751447
church,11,0.9080254777070064,0.6212121212121212,0.30073349633251834,0.4052718286655684,0.8481103498919365
french_horn,11,0.8937579617834395,0.4610169491525424,0.34517766497461927,0.39477503628447025,0.814191059031896
garbage_truck,11,0.9197452229299363,0.7534246575342466,0.2827763496143959,0.411214953271028,0.8444715536995895
gas_pump,11,0.8927388535031847,0.4930555555555556,0.16945107398568018,0.2522202486678508,0.7732247616428435
golf_ball,11,0.9090445859872611,0.5905172413793104,0.3433583959899749,0.43423137876386686,0.8254953890682465
parachute,11,0.9398726114649681,0.8130081300813008,0.5128205128205128,0.6289308176100629,0.9092880716643092
tench,12,0.9467515923566879,0.778125,0.6434108527131783,0.7043847241867044,0.9145117681342325
english_springer,12,0.9047133757961784,0.5483870967741935,0.3012658227848101,0.3888888888888889,0.8544217735862588
cassette_player,12,0.9296815286624204,0.6694560669456067,0.4481792717086835,0.5369127516778524,0.880251315772946
chain_saw,12,0.9039490445859872,0.5714285714285714,0.09326424870466321,0.1603563474387528,0.7380777041024732
church,12,0.9143949044585987,0.658008658008658,0.37163814180929094,0.475,0.8630730353174173
french_horn,12,0.9054777070063694,0.5732484076433121,0.22842639593908629,0.32667876588021777,0.830685286375784
garbage_truck,12,0.9128662420382165,0.5785953177257525,0.44473007712082263,0.502906976744186,0.8644402342704929
gas_pump,12,0.8881528662420383,0.4264705882352941,0.13842482100238662,0.209009009009009,0.735191087355192
golf_ball,12,0.914140127388535,0.691358024691358,0.2807017543859649,0.39928698752228164,0.8234561161838232
parachute,12,0.9396178343949044,0.8,0.5230769230769231,0.6325581395348837,0.9010017045660611
tench,13,0.9434394904458598,0.7619047619047619,0.6201550387596899,0.6837606837606838,0.9223089878367463
english_springer,13,0.913375796178344,0.6950354609929078,0.2481012658227848,0.3656716417910448,0.860915838921361
cassette_player,13,0.922547770700637,0.594306049822064,0.4677871148459384,0.5235109717868338,0.8749034367110072
chain_saw,13,0.9039490445859872,0.56,0.10880829015544041,0.1822125813449024,0.7332045438906515
church,13,0.9136305732484077,0.6682692307692307,0.33985330073349634,0.4505672609400324,0.8483763361899913
french_horn,13,0.8919745222929937,0.44140625,0.2868020304568528,0.3476923076923077,0.8330105936254236
garbage_truck,13,0.9143949044585987,0.7623762376237624,0.19794344473007713,0.3142857142857143,0.8345428293919901
gas_pump,13,0.8965605095541401,0.5436241610738255,0.19331742243436753,0.2852112676056338,0.7752628633900017
